Date,Count,Top,Type,Tickers,Weights
2015-06-22,10,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GILD|GOOGL|META|INTC|CSCO|CMCSA,0.267539|0.172750|0.085012|0.082134|0.076126|0.072385|0.070367|0.066388|0.055747|0.051553
2015-09-21,10,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|META|GILD|INTC|CSCO|CMCSA,0.241732|0.165297|0.106457|0.096614|0.085941|0.079048|0.066270|0.060282|0.049392|0.048966
2015-12-21,7,AAPL,Recon,AAPL|MSFT|AMZN|GOOG|GOOGL|META|INTC,0.242742|0.222019|0.138456|0.122028|0.105217|0.093030|0.076508
2016-03-21,7,AAPL,Rebal,AAPL|MSFT|GOOG|AMZN|META|GOOGL|INTC,0.346469|0.179524|0.103399|0.101602|0.101357|0.091735|0.075914
2016-06-20,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC,0.321830|0.172800|0.134646|0.105633|0.099385|0.087389|0.078317
2016-09-19,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC,0.336199|0.171992|0.127159|0.104283|0.095434|0.085635|0.079298
2016-12-19,9,AAPL,Recon,AAPL|MSFT|AMZN|GOOG|META|GOOGL|CSCO|INTC|CMCSA,0.294890|0.164429|0.106786|0.084114|0.082133|0.074334|0.067476|0.067400|0.058438
2017-03-20,9,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CSCO|INTC|CMCSA,0.244869|0.153796|0.140435|0.108846|0.094958|0.084014|0.060912|0.057896|0.054274
2017-06-19,9,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|CMCSA|INTC|CSCO,0.234800|0.155845|0.150540|0.109758|0.098913|0.087142|0.056110|0.053962|0.052929
2017-09-18,9,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC|CSCO|CMCSA,0.248196|0.161356|0.143107|0.118537|0.091804|0.080678|0.055011|0.052739|0.048572
2017-12-18,7,AAPL,Recon,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC,0.267404|0.179949|0.168864|0.121727|0.104345|0.090911|0.066801
2018-03-19,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC,0.273724|0.187061|0.165128|0.123302|0.102380|0.088289|0.060115
2018-06-18,7,AAPL,Rebal,AAPL|MSFT|AMZN|META|GOOG|GOOGL|INTC,0.270596|0.186580|0.168519|0.129607|0.099912|0.086884|0.057902
