Date,Count,Top,BufferRule,Type,Tickers,Weights
2017-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC|CSCO|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2017-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC|CSCO|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2018-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC|CSCO|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2018-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|INTC|CSCO|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2018-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CSCO|INTC|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2018-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|GOOGL|CSCO|INTC|CMCSA|AMGN,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2019-03-31,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|GOOG|GOOGL|CSCO|INTC|NVDA|CMCSA,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2019-06-30,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|GOOG|GOOGL|CSCO|INTC|NVDA|PEP,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2019-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|CSCO|INTC|NVDA|CMCSA,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2019-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA|INTC|CSCO|CMCSA,0.300000|0.300000|0.057143|0.057143|0.057143|0.057143|0.057143|0.057143|0.057143
2020-03-31,9,MSFT,True,Rebal,MSFT|AMZN|AAPL|INTC|CSCO|PEP|CMCSA|NFLX|ADBE,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2020-06-30,9,MSFT,True,Rebal,MSFT|AMZN|AAPL|CSCO|INTC|CMCSA|PYPL|PEP|ADBE,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2020-09-30,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|NVDA|CMCSA|PYPL|PEP|ADBE|INTC,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2020-12-31,9,AAPL,True,Recon,AAPL|AMZN|MSFT|TSLA|CMCSA|PYPL|NVDA|CSCO|PEP,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2021-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA|INTC|PYPL|ADBE|CMCSA,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2021-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA|ADBE|PYPL|CMCSA|INTC,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2021-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA|ADBE|PYPL|NFLX|CMCSA,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2021-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|NVDA|TSLA|ADBE|NFLX|COST|PEP,0.300000|0.300000|0.244259|0.145741|0.002000|0.002000|0.002000|0.002000|0.002000
2022-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|NFLX|ADBE|CMCSA|COST,0.284960|0.242198|0.215463|0.138635|0.108744|0.002500|0.002500|0.002500|0.002500
2022-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|CMCSA|PEP|ADBE|COST,0.300000|0.284950|0.197828|0.122076|0.085145|0.002500|0.002500|0.002500|0.002500
2022-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|PEP|COST|CSCO|AVGO,0.300000|0.262033|0.212982|0.145970|0.069015|0.002500|0.002500|0.002500|0.002500
2022-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|NVDA|TSLA|PEP|AVGO|NFLX|CSCO,0.300000|0.300000|0.300000|0.016667|0.016667|0.016667|0.016667|0.016667|0.016667
2023-03-31,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|PEP|COST|AVGO|TMUSL,0.300000|0.300000|0.213507|0.176493|0.002000|0.002000|0.002000|0.002000|0.002000
2023-06-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|AVGO|PEP|COST|TMUSL,0.300000|0.300000|0.213529|0.176471|0.002000|0.002000|0.002000|0.002000|0.002000
2023-09-30,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|AVGO|COST|PEP|TMUSL,0.300000|0.300000|0.215456|0.174544|0.002000|0.002000|0.002000|0.002000|0.002000
2023-12-31,9,AAPL,True,Recon,AAPL|MSFT|AMZN|TSLA|NVDA|AVGO|COST|TMUSL|PEP,0.300000|0.300000|0.233105|0.156895|0.002000|0.002000|0.002000|0.002000|0.002000
2024-03-31,9,MSFT,True,Rebal,MSFT|AAPL|NVDA|AMZN|AVGO|TSLA|COST|PEP|CSCO,0.255428|0.249220|0.165983|0.155140|0.084735|0.079495|0.003333|0.003333|0.003333
2024-06-30,9,AAPL,True,Rebal,AAPL|MSFT|NVDA|AMZN|AVGO|TSLA|COST|PEP|ADBE,0.260703|0.231209|0.193036|0.141365|0.087578|0.076109|0.003333|0.003333|0.003333
2024-09-30,9,AAPL,True,Rebal,AAPL|MSFT|NVDA|AMZN|TSLA|AVGO|COST|PEP|CSCO,0.276762|0.213747|0.181899|0.130649|0.096454|0.090488|0.003333|0.003333|0.003333
2024-12-31,9,AAPL,True,Recon,AAPL|MSFT|NVDA|AMZN|TSLA|AVGO|COST|NFLX|CSCO,0.291466|0.205346|0.196894|0.150568|0.145725|0.002500|0.002500|0.002500|0.002500
2025-03-31,9,AAPL,True,Rebal,AAPL|MSFT|NVDA|META|AVGO|AMZN|TSLA|COST|GOOGL,0.229513|0.185400|0.182596|0.116480|0.114881|0.105843|0.055287|0.005000|0.005000
2025-06-30,9,NVDA,True,Rebal,NVDA|MSFT|AAPL|AVGO|META|AMZN|TSLA|NFLX|COST,0.210280|0.194417|0.167679|0.149758|0.117923|0.096411|0.053532|0.005000|0.005000
